% UltraMSK: version 1.0.2
% Site: localhost.localdomain
% Date: 2016-07-23
% Frequency: 24000.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End          
04220.000  -42.58   69.57
04240.000  -42.88   69.40
04260.000  -43.06   69.97
04280.000  -42.93   69.77
04300.000  -42.88   69.77
04320.000  -42.90   69.13
04340.000  -42.95   68.51
04360.000  -42.80   67.92
04380.000  -42.80   66.91
04400.000  -42.81   66.98
04420.000  -42.80   66.53
04440.000  -42.82   65.88
04460.000  -42.81   65.61
04480.000  -42.77   65.36
04500.000  -42.83   64.59
04520.000  -42.92   64.18
04540.000  -42.97   64.59
04560.000  -42.96   63.83
04580.000  -43.12   63.23
04600.000  -42.93   62.97
04620.000  -42.86   62.82
04640.000  -42.80   62.39
04660.000  -42.79   62.00
04680.000  -42.90   61.65
04700.000  -43.00   62.40
04720.000  -42.99   62.45
04740.000  -42.97   61.87
04760.000  -43.00   60.88
04780.000  -43.07   60.42
% Warning: sampling overrun detected
04800.000  -43.23   60.11
04820.000  -43.16   60.36
04840.000  -43.12   60.40
04860.000  -43.03   60.19
04880.000  -42.96   60.55
04900.000  -42.93   61.01
04920.000  -42.89   61.52
04940.000  -42.82   61.55
04960.000  -42.76   61.52
04980.000  -42.72   61.32
05000.000  -42.68   61.36
05020.000  -42.66   61.01
05040.000  -42.66   60.87
05060.000  -42.81   60.57
05080.000  -42.78   60.35
05100.000  -42.86   60.01
05120.000  -42.93   60.34
05140.000  -42.99   60.83
05160.000  -42.96   60.24
05180.000  -43.04   60.25
05200.000  -43.17   60.54
05220.000  -43.18   60.82
05240.000  -43.26   60.67
05260.000  -43.32   60.95
05280.000  -43.36   61.46
05300.000  -43.49   62.15
05320.000  -43.55   61.17
05340.000  -43.62   60.47
05360.000  -43.60   60.14
05380.000  -43.60   60.35
05400.000  -43.62   60.41
05420.000  -43.65   59.71
05440.000  -43.60   59.09
05460.000  -43.53   58.30
05480.000  -43.45   57.99
05500.000  -43.42   58.04
05520.000  -43.97   60.06
05540.000  -43.83   59.05
05560.000  -43.66   58.54
05580.000  -43.53   58.47
05600.000  -43.38   57.64
05620.000  -43.30   56.88
05640.000  -43.19   57.66
05660.000  -43.43   60.44
05680.000  -43.27   59.87
05700.000  -43.47   59.59
05720.000  -43.45   59.28
05740.000  -43.41   58.38
05760.000  -43.54   59.45
05780.000  -43.64   59.38
05800.000  -43.60   59.21
05820.000  -43.55   58.72
05840.000  -43.52   58.48
05860.000  -43.37   57.79
05880.000  -43.29   57.42
05900.000  -43.25   56.70
05920.000  -43.28   56.37
05940.000  -43.27   56.48
05960.000  -43.55   56.61
05980.000  -43.84   58.50
06000.000  -43.84   58.13
06020.000  -43.76   57.58
06040.000  -43.69   57.28
06060.000  -43.77   57.70
06080.000  -43.90   58.53
06100.000  -43.93   57.73
06120.000  -43.76   57.30
06140.000  -43.67   57.57
06160.000  -43.60   57.84
06180.000  -43.87   57.99
06200.000  -43.82   58.14
06220.000  -43.77   58.50
06240.000  -44.10   60.52
06260.000  -44.03   59.90
06280.000  -43.98   59.40
06300.000  -43.96   59.35
06320.000  -43.96   58.64
06340.000  -43.84   57.30
06360.000  -43.75   56.91
06380.000  -43.77   56.72
06400.000  -43.77   56.37
06420.000  -43.78   55.62
06440.000  -43.85   55.02
06460.000  -43.97   55.18
06480.000  -44.00   55.10
06500.000  -43.93   55.04
06520.000  -43.91   54.90
06540.000  -44.07   55.15
06560.000  -43.98   55.07
06580.000  -44.16   55.12
06600.000  -44.11   54.40
06620.000  -44.11   54.23
06640.000  -44.07   54.12
06660.000  -44.10   53.70
06680.000  -44.19   53.62
06700.000  -44.30   52.81
06720.000  -44.53   52.61
06740.000  -44.57   52.90
06760.000  -44.39   52.03
06780.000  -44.33   51.94
06800.000  -44.34   52.07
06820.000  -44.35   52.32
06840.000  -44.34   52.21
06860.000  -44.32   51.42
06880.000  -44.36   51.19
06900.000  -44.47   52.02
06920.000  -44.48   52.59
06940.000  -44.43   52.11
06960.000  -44.43   52.11
06980.000  -44.31   51.71
07000.000  -44.30   50.82
07020.000  -44.32   50.10
07040.000  -44.45   47.70
07060.000  -44.42   48.55
07080.000  -44.42   48.96
07100.000  -44.46   49.78
07120.000  -44.44   49.43
07140.000  -44.45   49.69
07160.000  -44.57   49.48
07180.000  -44.59   49.07
07200.000  -44.67   48.67
07220.000  -44.81   48.90
07240.000  -45.01   49.00
07260.000  -44.90   48.74
07280.000  -45.15   48.98
07300.000  -44.98   48.48
07320.000  -44.83   47.73
07340.000  -44.69   47.47
07360.000  -44.65   47.19
07380.000  -44.59   46.63
07400.000  -44.51   46.02
07420.000  -44.61   46.31
07440.000  -45.03   46.98
07460.000  -44.84   46.16
07480.000  -44.69   45.52
07500.000  -44.69   45.55
07520.000  -44.57   45.95
07540.000  -44.53   46.47
07560.000  -44.51   47.48
07580.000  -44.53   47.65
07600.000  -44.42   47.23
07620.000  -44.39   46.78
07640.000  -44.30   46.81
07660.000  -44.43   47.44
% Warning: sampling overrun detected
07680.000  -44.48   47.80
07700.000  -44.28   48.37
07720.000  -44.49   49.59
07740.000  -44.66   50.35
07760.000  -44.63   50.24
07780.000  -44.71   50.67
07800.000  -44.88   51.50
07820.000  -44.94   51.64
